source_FIPS_0,source_facility_0,destination_FIPS_0,destination_facility_0,flow_kg_0,source_0,destination_0,emission_0,emission_total
38047,0,38043,0,2575.3515262266537,38047,38043,99096.43404106083,99096.43404106083
38047,0,38055,0,218.7382645944763,38047,38055,8500.401682155816,8500.401682155816
39137,0,39003,0,2244.217338529844,39137,39003,26202.370869302755,26202.370869302755
39151,0,39067,0,1624398.7891805496,39151,39067,17876594.96299563,17876594.96299563
42023,0,42035,0,165.7465757488251,42023,42035,4051.1541424716297,4051.1541424716297
55017,0,55017,0,16134.06318252715,55017,55017,158800.50393987494,158800.50393987494
31111,0,6047,0,24379013.936504472,31111,6047,504439177.7131858,504439177.7131858
31111,0,32007,0,703.6522515072567,31111,32007,13092.762746275517,13092.762746275517
31111,0,6061,0,24379013.936504472,31111,6061,491189249.9496136,491189249.9496136
31111,0,6103,0,24379013.93650447,31111,6103,500776070.9428945,500776070.9428945
31111,0,49039,0,138.45289076719823,31111,49039,2520.5761547616967,2520.5761547616967
26093,0,45003,0,5250490.311277243,26093,45003,150715023.79464298,150715023.79464298
26093,0,26163,0,2408.9832388225623,26093,26163,62397.29082015509,62397.29082015509
26093,0,26115,0,2795.123895330268,26093,26115,72564.10732830399,72564.10732830399
26093,0,37119,0,3475.156728,26093,37119,97883.8505777334,97883.8505777334
46125,0,46125,0,572.4482450639639,46125,46125,8117.442872221913,8117.442872221913
9013,0,9015,0,24154.831101824828,9013,9015,385405.4132308,385405.4132308
19177,0,19177,0,864513.3309805661,19177,19177,13088454.953361258,13088454.953361258
19177,0,29199,0,2556907.7168355966,19177,29199,38938182.46373343,38938182.46373343
19177,0,29045,0,245947.97426036483,19177,29045,3746845.157868723,3746845.157868723
26125,0,26115,0,814.6208918672172,26125,26115,35799.83692140263,35799.83692140263
29003,0,29119,0,37347343.21732238,29003,29119,705483705.3479328,705483705.3479328
29003,0,48097,0,974.3430079,29003,48097,19414.831393199776,19414.831393199776
29003,0,35005,0,636.8975386203574,29003,35005,13515.269015549049,13515.269015549049
37157,0,37197,0,854251.2976000167,37157,37197,128703531.42762348,128703531.42762348
6019,0,6031,0,18245.972665714955,6019,6031,197725.18228367603,197725.18228367603
8101,0,8003,0,112763.6087562129,8101,8003,895885.4013770042,895885.4013770042
8101,0,8027,0,311.529855362066,8101,8027,2403.2395233957754,2403.2395233957754
8101,0,8055,0,16.94380113464133,8101,8055,130.8316689014603,130.8316689014603
13207,0,13159,0,114.36460578511426,13207,13159,6150.522369180574,6150.522369180574
19101,0,19087,0,733.1613555791141,19101,19087,10342.996834558402,10342.996834558402
19197,0,19197,0,50430.320611365896,19197,19197,460575.40452239785,460575.40452239785
19197,0,19169,0,90.0874974805297,19197,19169,840.218008007236,840.218008007236
19197,0,19187,0,217.9405154235511,19197,19187,2016.1660282977784,2016.1660282977784
19197,0,19079,0,864513.3300214387,19197,19079,7968158.061896395,7968158.061896395
19197,0,20099,0,347.693115148507,19197,20099,3745.6493818005843,3745.6493818005843
29061,0,29061,0,250589.0781,29061,29061,4642793.3995002955,4642793.3995002955
31143,0,31143,0,1773689.1430560509,31143,31143,22344187.380612433,22344187.380612433
36049,0,36049,0,2035.3632170600567,36049,36049,222196.82232987968,222196.82232987968
