source_FIPS_0,source_facility_0,destination_FIPS_0,destination_facility_0,flow_kg_0,source_0,destination_0,emission_0,emission_total
39137,0,39003,0,8367343.778857254,39137,39003,97692964.54513396,97692964.54513396
39151,0,39067,0,124222.7415311407,39151,39067,1367077.8692622336,1367077.8692622336
42023,0,42035,0,86253.5588257536,42023,42035,2108197.1712610116,2108197.1712610116
55017,0,55017,0,3817807.533832055,55017,55017,37577004.221389115,37577004.221389115
31111,0,6047,0,1630215.7485445158,31111,6047,33731663.38198464,33731663.38198464
31111,0,32007,0,1455402.1524175196,31111,32007,27080471.982011113,27080471.982011113
31111,0,6103,0,3922722.524583658,31111,6103,80577728.79479548,80577728.79479548
31111,0,49039,0,2756106.761828579,31111,49039,50175745.30475925,50175745.30475925
31111,0,49023,0,933319.2605939604,31111,49023,16984290.54544241,16984290.54544241
20189,0,20067,0,132058940.55710945,20189,20067,2318089352.468669,2318089352.468669
20189,0,20189,0,43810288.30658414,20189,20189,766053431.1926023,766053431.1926023
20189,0,20081,0,118266424.7634534,20189,20081,2078221258.6194694,2078221258.6194694
20189,0,48195,0,18984954.75123616,20189,48195,336908741.10120386,336908741.10120386
26093,0,26115,0,1199176.1915373057,26093,26115,31131768.439186864,31131768.439186864
26093,0,37119,0,23310.3341,26093,37119,656576.2175781339,656576.2175781339
46125,0,46125,0,4089725.150985592,46125,46125,57993208.228815876,57993208.228815876
9013,0,9015,0,5705.617652625371,9013,9015,91036.69240646863,91036.69240646863
19177,0,19177,0,427389.2402030224,19177,19177,6470536.216721799,6470536.216721799
19177,0,29199,0,3930011.2883765986,19177,29199,59848658.4493262,59848658.4493262
19177,0,29045,0,878534.8904161196,19177,29045,13383863.84386187,13383863.84386187
26125,0,26115,0,349492.19256008207,26125,26115,15359001.49856922,15359001.49856922
29003,0,29119,0,187864.17880069136,29003,29119,3548716.067733196,3548716.067733196
29003,0,48097,0,12068301.81,29003,48097,240473881.31659392,240473881.31659392
29003,0,35005,0,12191540.845519165,29003,35005,258710301.50025946,258710301.50025946
37157,0,37197,0,12565.884325106294,37157,37197,1893206.0070565438,1893206.0070565438
6019,0,6031,0,329976.76615208696,6019,6031,3575842.046469643,3575842.046469643
8101,0,8055,0,198462.2285084028,8101,8055,1532427.3675858947,1532427.3675858947
8101,0,8109,0,100495.38377975216,8101,8109,810245.7280863299,810245.7280863299
8101,0,8105,0,2457659.3211503127,8101,8105,19819570.63656308,19819570.63656308
19101,0,19087,0,14330971.776462289,19101,19087,202172679.44109547,202172679.44109547
19101,0,48117,0,53936708.54467695,19101,48117,942284534.923421,942284534.923421
19197,0,19197,0,269114.7663095205,19197,19197,2457800.0070858737,2457800.0070858737
