source_FIPS_0,source_facility_0,destination_FIPS_0,destination_facility_0,flow_kg_0,source_0,destination_0,emission_0,emission_total
19027,0,19073,0,33630334.574659236,19027,19073,335355432.42601436,335355432.42601436
20015,0,35009,0,27848.28704315725,20015,35009,540820.2503203161,540820.2503203161
20015,0,48161,0,8659.283425440985,20015,48161,165631.9066194643,165631.9066194643
27009,0,27009,0,12870295.720000004,27009,27009,204492906.61654657,204492906.61654657
27009,0,27097,0,5149163.455238562,27009,27097,82281494.33950378,82281494.33950378
18031,0,18031,0,61322614.08141632,18031,18031,864093007.684569,864093007.684569
18031,0,18137,0,8701381.197698366,18031,18137,123055197.68088013,123055197.68088013
18031,0,47009,0,31655.61341281571,18031,47009,484132.88157007616,484132.88157007616
18031,0,18029,0,2063876.8387609872,18031,18029,29378006.267378043,29378006.267378043
18031,0,13123,0,17427.686789033145,18031,13123,273335.1067649664,273335.1067649664
18031,0,37039,0,14301.152891592774,18031,37039,223405.5850311043,223405.5850311043
18031,0,21151,0,61532.82157535098,18031,21151,904177.601992429,904177.601992429
18031,0,47025,0,36870.096482313835,18031,47025,557365.0608543472,557365.0608543472
18031,0,47001,0,15061.13537400429,18031,47001,228522.7568880641,228522.7568880641
18047,0,18047,0,5001586.919422315,18047,18047,64633186.02304658,64633186.02304658
18047,0,21191,0,32366.975508566597,18047,21191,426752.8250002793,426752.8250002793
18047,0,18161,0,3586687.7038323637,18047,18161,46503854.06627821,46503854.06627821
18047,0,47093,0,64378.26997285524,18047,47093,900715.3992156449,900715.3992156449
18047,0,13227,0,8892.026239228138,18047,13227,129052.53095553492,129052.53095553492
18047,0,47105,0,2956.409650027,18047,47105,41693.17046203842,41693.17046203842
18047,0,13213,0,13289.14685349835,18047,13213,191677.1721760002,191677.1721760002
18047,0,21015,0,26320.39766957228,18047,21015,344718.64518998505,344718.64518998505
19063,0,19063,0,66714497.29392104,19063,19063,719138117.8326952,719138117.8326952
19063,0,19147,0,9328209.418682612,19063,19147,101374538.52189212,101374538.52189212
19063,0,27091,0,13693482.74963766,19063,27091,149042289.85656816,149042289.85656816
19063,0,19059,0,9055280.029228954,19063,19059,98230255.2631359,98230255.2631359
26069,0,36063,0,2579.486383902,26069,36063,64794.13096194844,64794.13096194844
26069,0,36045,0,1493.586491646144,26069,36045,38590.331696568035,38590.331696568035
26069,0,39035,0,214.90305532236533,26069,39035,5227.3442191786235,5227.3442191786235
36003,0,36003,0,44068.571395709005,36003,36003,2401490.334591354,2401490.334591354
36003,0,42035,0,2326877.6313402513,36003,42035,127625231.87052613,127625231.87052613
36003,0,42105,0,8132.851668999758,36003,42105,443865.898373917,443865.898373917
40071,0,40071,0,54833.41327095462,40071,40071,1252800.044097189,1252800.044097189
40071,0,40019,0,40397.31910132035,40071,40019,951916.2283348966,951916.2283348966
1085,0,1085,0,6300.128811934543,1085,1085,239148.78737215936,239148.78737215936
1085,0,1039,0,3613.7410666230658,1085,1039,138318.6790105127,138318.6790105127
17147,0,17115,0,660884.9273136194,17147,17115,5302104.048482961,5302104.048482961
18009,0,13225,0,22407.90612295702,18009,13225,391068.5183393156,391068.5183393156
18009,0,13117,0,23474.949265278938,18009,13117,397660.81105251284,397660.81105251284
18009,0,13289,0,4623.853644206692,18009,13289,80766.67982885067,80766.67982885067
18009,0,1115,0,12133.987879305883,18009,1115,207159.21592824374,207159.21592824374
18009,0,13255,0,3556.810495174936,18009,13255,61212.81173389691,61212.81173389691
20203,0,20171,0,17355941.453033756,20203,20171,369490938.7192198,369490938.7192198
20067,0,20067,0,18733987.47188894,20067,20067,328777295.89554906,328777295.89554906
26045,0,26025,0,3141678.7055713343,26045,26025,39408177.78703527,39408177.78703527
