source_FIPS_0,source_facility_0,destination_FIPS_0,destination_facility_0,flow_kg_0,source_0,destination_0,emission_0,emission_total
18119,0,18027,0,150264.26945205557,18119,18027,2197337.0915835965,2197337.0915835965
20033,0,40059,0,258999.05573252664,20033,40059,4041677.470106267,4041677.470106267
20175,0,4019,0,16126.74920192922,20175,4019,275376.5837790357,275376.5837790357
27043,0,27043,0,3642704.552,27043,27043,31099859.377777778,31099859.377777778
27043,0,27091,0,101083.4756737766,27043,27091,869549.7761865909,869549.7761865909
29227,0,29227,0,520577.2414,29227,29227,9164425.078881158,9164425.078881158
29227,0,29147,0,816674.4078840592,29227,29147,14459552.214565936,14459552.214565936
38011,0,30077,0,309288.10283991985,38011,30077,11270300.885198284,11270300.885198284
38011,0,30057,0,4813.719069942248,38011,30057,173955.59699674317,173955.59699674317
38011,0,30011,0,6820.175023486869,38011,30011,236936.2479819569,236936.2479819569
38011,0,30103,0,164812.63357268172,38011,30103,5782249.37649518,5782249.37649518
38011,0,30017,0,9184.115038712838,38011,30017,319801.0801993563,319801.0801993563
46051,0,46051,0,20349475.85581187,46051,46051,299533904.73690623,299533904.73690623
46051,0,27151,0,3982298.728363512,46051,27151,59282090.19699109,59282090.19699109
46051,0,30029,0,80902.72097866678,46051,30029,1519828.7303121046,1519828.7303121046
46051,0,30105,0,17734.932278052624,46051,30105,305202.77923371166,305202.77923371166
46051,0,53011,0,1671920.4343773325,46051,53011,34855293.71009589,34855293.71009589
46051,0,30085,0,156414.70881284898,46051,30085,2656241.3672015755,2656241.3672015755
46051,0,41011,0,4726082.004997625,46051,41011,102716003.510878,102716003.510878
46051,0,53021,0,15881818.812384753,46051,53021,317336509.72088015,317336509.72088015
46051,0,6023,0,11131088.405967802,46051,6023,249420466.31647158,249420466.31647158
54077,0,54071,0,1566.3465556828364,54077,54071,88417.11150070876,88417.11150070876
8039,0,8039,0,259313.8356880969,8039,8039,10247060.021507975,10247060.021507975
8039,0,8015,0,122842.2361760776,8039,8015,4926351.823286866,4926351.823286866
8039,0,8005,0,1299.3129666979162,8039,8005,51460.76362289276,51460.76362289276
20097,0,4023,0,13870.46483309944,20097,4023,277997.1316775736,277997.1316775736
20097,0,35037,0,2845626.8179521225,20097,35037,50180102.30253402,50180102.30253402
20097,0,40059,0,1200779.9749831588,20097,40059,20082139.90963259,20082139.90963259
20097,0,4021,0,1295915.1360893154,20097,4021,25788804.332639057,25788804.332639057
20057,0,20069,0,10373542.1757405,20057,20069,164501780.768027,164501780.768027
38093,0,53033,0,1510273.711902836,38093,53033,27822761.496341307,27822761.496341307
38093,0,53057,0,14389977.575338904,38093,53057,268854882.9800543,268854882.9800543
38093,0,53029,0,246171.98016258172,38093,53029,4586864.754422839,4586864.754422839
31019,0,31019,0,1334586.6007258317,31019,31019,22078916.908073664,22078916.908073664
31019,0,49049,0,19375419.38698677,31019,49049,376880957.0306879,376880957.0306879
31019,0,31047,0,4355.788434515813,31019,31047,72736.5021109515,72736.5021109515
31019,0,6039,0,99563957.42710556,31019,6039,2220986233.23975,2220986233.23975
31115,0,31115,0,393794.12417297834,31115,31115,5138578.953724581,5138578.953724581
31115,0,31041,0,84126.56174438856,31115,31041,1109507.8782247168,1109507.8782247168
38101,0,41051,0,176.3485499614218,38101,41051,4099.9459317255305,4099.9459317255305
46115,0,46115,0,4883279.602387901,46115,46115,81377867.81148815,81377867.81148815
46115,0,46013,0,2131848.4014573824,46115,46013,35884632.98820986,35884632.98820986
19123,0,19135,0,11686.7513923367,19123,19135,121944.7954850344,121944.7954850344
19123,0,19123,0,896215.4590669106,19123,19123,9295884.542972827,9295884.542972827
19123,0,19179,0,1293123.348316292,19123,19179,13486175.971519642,13486175.971519642
13201,0,13201,0,1348096.6477060637,13201,13201,12725012.23882715,12725012.23882715
13201,0,13087,0,2671751.0223213574,13201,13087,25368966.155726388,25368966.155726388
13201,0,13205,0,602761.8878074342,13201,13205,5764443.834889114,5764443.834889114
1003,0,1003,0,16963.60645318683,1003,1003,729694.7743560419,729694.7743560419
1003,0,12015,0,10795.022291688309,1003,12015,487684.6530976303,487684.6530976303
1003,0,12081,0,2923977.019950806,1003,12081,131497242.66990349,131497242.66990349
1003,0,12101,0,1459.175550971025,1003,12101,65122.31357001133,65122.31357001133
4017,0,4017,0,103.84804781769814,4017,4017,1709.351260305338,1709.351260305338
13055,0,13055,0,280503.9183609253,13055,13055,28626225.393254958,28626225.393254958
20121,0,5143,0,50358.0000842142,20121,5143,834097.8383703504,834097.8383703504
31095,0,48421,0,780811.266516592,31095,48421,15753131.60658596,15753131.60658596
31095,0,35029,0,10584602.04867894,31095,35029,234936284.53897828,234936284.53897828
31095,0,4023,0,74894.5604962361,31095,4023,1726935.302155931,1726935.302155931
31095,0,20155,0,3152481.235187624,31095,20155,60514500.99345924,60514500.99345924
40003,0,40011,0,597.3334777742581,40003,40011,11060.405223418004,11060.405223418004
46007,0,46007,0,3937021.2463906794,46007,46007,91528405.01664811,91528405.01664811
48205,0,48205,0,21879783.270497415,48205,48205,434696672.8938272,434696672.8938272
48205,0,48111,0,13561202.873067126,48205,48111,270227939.3748816,270227939.3748816
55041,0,26109,0,1172877.939756026,55041,26109,37560569.95345611,37560569.95345611
18055,0,18027,0,621862.76241705,18055,18027,7688870.633918062,7688870.633918062
26165,0,26165,0,2044650.683,26165,26165,54774927.446927145,54774927.446927145
26165,0,26113,0,11798503.049554154,26165,26113,316905183.37998533,316905183.37998533
36069,0,36069,0,35034812.45188125,36069,36069,616495241.791232,616495241.791232
36069,0,36011,0,18340003.600636728,36069,36011,324603675.81504536,324603675.81504536
36069,0,36117,0,12994122.547705788,36069,36117,230005447.13731998,230005447.13731998
55073,0,55139,0,7342895.514523419,55073,55139,93770516.28041682,93770516.28041682
