source_FIPS_0,source_facility_0,destination_FIPS_0,destination_facility_0,flow_kg_0,source_0,destination_0,emission_0,source_FIPS_1,source_facility_1,destination_FIPS_1,destination_facility_1,flow_kg_1,source_1,destination_1,emission_1,emission_total
31159,0,31081,0,101663.86451022195,31159,31081,1340052.7190549006,31081,413147,20089,0,34728.161372474795,413147,20089,6689.694685045453,1346742.413739946
31159,0,31081,0,236135.58967912107,31159,31081,3112552.729916362,31081,412147,31129,0,80663.41864602709,412147,31129,15378.992009612444,3127931.7219259744
31159,0,31081,0,236135.58967912107,31159,31081,3112552.729916362,31081,413147,31129,0,80663.41864602709,413147,31129,15378.992009612444,3127931.7219259744
31159,0,31081,0,5695321.49475543,31159,31081,75071227.04519519,31081,412147,6025,0,1945509.7924012518,412147,6025,555993.7378413749,75627220.78303656
31159,0,31081,0,5695321.49475543,31159,31081,75071227.04519519,31081,413147,6025,0,1945509.7924012518,413147,6025,555993.7378413749,75627220.78303656
31159,0,31081,0,2320.927980036826,31159,31081,30592.638449881375,31081,412147,32003,0,792.8240954927169,412147,32003,211.09212529769428,30803.73057517907
31159,0,31081,0,2320.927980036826,31159,31081,30592.638449881375,31081,413147,32003,0,792.8240954927169,413147,32003,211.09212529769428,30803.73057517907
31159,0,31081,0,3832361.9536892865,31159,31081,50515166.63452741,31081,412147,4013,0,1309126.748295826,412147,4013,353975.48578189895,50869142.12030931
31159,0,31081,0,3832361.9536892865,31159,31081,50515166.63452741,31081,413147,4013,0,1309126.748295826,413147,4013,353975.48578189895,50869142.12030931
31159,0,31081,0,16941736.22295084,31159,31081,223312578.1756357,31081,412147,8123,0,5787261.307791238,412147,8123,1236235.9743450794,224548814.14998078
31159,0,31081,0,16941736.22295084,31159,31081,223312578.1756357,31081,413147,8123,0,5787261.307791238,413147,8123,1236235.9743450794,224548814.14998078
31159,0,31081,0,10626830.599130642,31159,31081,140074482.78605422,31081,412147,8075,0,3630102.8856467986,412147,8075,749720.8581910225,140824203.64424524
31159,0,31081,0,10626830.599130642,31159,31081,140074482.78605422,31081,413147,8075,0,3630102.8856467986,413147,8075,749720.8581910225,140824203.64424524
31159,0,31081,0,22762.984802687144,31159,31081,300043.676537392,31081,412147,6079,0,7775.787526426625,412147,6079,2274.3321467496717,302318.0086841417
31159,0,31081,0,22762.984802687144,31159,31081,300043.676537392,31081,413147,6079,0,7775.787526426625,413147,6079,2274.3321467496717,302318.0086841417
31159,0,31081,0,220257.8242894452,31159,31081,2903264.574430087,31081,412147,8045,0,75239.6075274608,412147,8045,17086.368479456483,2920350.9429095434
31159,0,31081,0,220257.8242894452,31159,31081,2903264.574430087,31081,413147,8045,0,75239.6075274608,413147,8045,17086.368479456483,2920350.9429095434
31159,0,31081,0,65974.06039658349,31159,31081,869617.9261673134,31081,412147,49021,0,22536.599674701345,412147,49021,5755.0150098535405,875372.9411771669
31159,0,31081,0,65974.06039658349,31159,31081,869617.9261673134,31081,413147,49021,0,22536.599674701345,413147,49021,5755.0150098535405,875372.9411771669
31159,0,31185,0,50965964.24269234,31159,31185,666295527.7931751,31185,426083,20057,0,13702237.843652485,426083,20057,2837687.664541556,669133215.4577167
31159,0,31185,0,21124519.00806992,31159,31185,276168081.0125564,31185,426083,48357,0,5679342.833640878,426083,48357,1228540.0961888582,277396621.1087452
31159,0,31185,0,3753160.30866926,31159,31185,49066351.748966284,31185,426083,20079,0,1009039.9736156488,426083,20079,203041.26154160232,49269393.01050789
31159,0,31185,0,616605.327727067,31159,31185,8061092.895674933,31185,426083,20173,0,165774.80641683313,426083,20173,33600.75261474478,8094693.648289678
