source_FIPS_0,source_facility_0,destination_FIPS_0,destination_facility_0,flow_kg_0,source_0,destination_0,emission_0,emission_total
18055,0,18027,0,162015463.13181818,18055,18027,2003200725.3063922,2003200725.3063922
31003,0,31011,0,817345547.5075608,31003,31011,14681199801.621435,14681199801.621435
55073,0,55139,0,168039557.28305367,55073,55139,2145904978.6012537,2145904978.6012537
8121,0,4013,0,47672258.373402834,8121,4013,1087934696.5635428,1087934696.5635428
18041,0,47105,0,171055226.7831037,18041,47105,2556541035.183219,2556541035.183219
20115,0,20173,0,117174806.13569108,20115,20173,2518879095.6573,2518879095.6573
19047,0,31177,0,192674953.0498223,19047,31177,2163553336.706922,2163553336.706922
19047,0,8123,0,163706494.17322215,19047,8123,2160579582.0752525,2160579582.0752525
31109,0,31081,0,14619113.649385916,31109,31081,249374372.71433538,249374372.71433538
38045,0,38093,0,465042182.3178365,38045,38093,5783477061.728137,5783477061.728137
20061,0,20175,0,53685148.67134063,20061,20175,1317987438.473898,1317987438.473898
26017,0,26157,0,177588435.06633437,26017,26157,1817472818.4145575,1817472818.4145575
19015,0,19073,0,758232011.6046894,19015,19073,7423142553.798428,7423142553.798428
19091,0,19187,0,555652184.0983118,19091,19187,5890000077.669785,5890000077.669785
29075,0,29021,0,56277223.01129222,29075,29021,1211241159.2735698,1211241159.2735698
31175,0,31175,0,227140253.08443695,31175,31175,3793998203.7860227,3793998203.7860227
18137,0,47105,0,220811991.3952583,18137,47105,2750306124.778007,2750306124.778007
31077,0,31175,0,87768595.11774677,31077,31175,1769110277.5421047,1769110277.5421047
26091,0,26091,0,340258507.5717802,26091,26091,3780204300.874301,3780204300.874301
18113,0,39147,0,142195022.90979508,18113,39147,1541877827.0930228,1541877827.0930228
26067,0,26015,0,258108153.27834296,26067,26015,2686683058.6020694,2686683058.6020694
26015,0,26015,0,98813996.8140873,26015,26015,1547852188.1207645,1547852188.1207645
27039,0,27039,0,613475031.2747233,27039,27039,4862140344.687137,4862140344.687137
29063,0,29021,0,88247109.52434516,29063,29021,1572452901.3286457,1572452901.3286457
31081,0,31079,0,722763884.0034411,31081,31079,9009788509.652597,9009788509.652597
46025,0,46029,0,278363460.5812715,46025,46029,5874612869.39705,5874612869.39705
46057,0,46029,0,299691885.44524354,46057,46029,4079760606.0517287,4079760606.0517287
55033,0,55017,0,82766294.2734223,55033,55017,870530597.7123035,870530597.7123035
55033,0,55033,0,122257682.49121223,55033,55033,1273127400.870247,1273127400.870247
31179,0,31141,0,316347108.34876233,31179,31141,4361752589.672616,4361752589.672616
29115,0,48117,0,54163988.54106352,29115,48117,1302043982.4099014,1302043982.4099014
46111,0,46035,0,105995937.18,46111,46035,2854435032.9802327,2854435032.9802327
19141,0,19141,0,517695274.8524226,19141,19141,5023401826.428648,5023401826.428648
19165,0,19047,0,201288473.9683701,19165,19047,1945931475.8451455,1945931475.8451455
17117,0,48001,0,432969365.899512,17117,48001,5394952564.361112,5394952564.361112
17123,0,17155,0,441417191.3560022,17123,17155,3813124583.6424265,3813124583.6424265
19187,0,19187,0,656209395.2412333,19187,19187,5633879700.125007,5633879700.125007
19003,0,19003,0,1900217.665133655,19003,19003,31063155.95505016,31063155.95505016
19003,0,20173,0,59758600.39283596,19003,20173,1048693561.7604177,1048693561.7604177
19003,0,48219,0,79124353.12269512,19003,48219,1556063313.028732,1556063313.028732
19011,0,19113,0,756217001.0521909,19011,19113,7263782481.727874,7263782481.727874
19041,0,19021,0,490765235.22372985,19041,19021,4847904602.938898,4847904602.938898
31113,0,31111,0,4492989.940304003,31113,31111,89137920.94047716,89137920.94047716
18045,0,17115,0,284270141.4180452,18045,17115,3150356950.6585093,3150356950.6585093
19095,0,19113,0,541383503.5606934,19095,19113,6145477782.968392,6145477782.968392
46043,0,46003,0,158713219.13282034,46043,46003,3682778152.992131,3682778152.992131
17017,0,47131,0,162699051.84911478,17017,47131,1817516590.8391104,1817516590.8391104
31013,0,31123,0,142854342.72321802,31013,31123,2752737466.9931283,2752737466.9931283
31013,0,8005,0,9492343.387384094,31013,8005,190712759.78609625,190712759.78609625
18161,0,47105,0,100794718.4099554,18161,47105,1464845288.3200464,1464845288.3200464
29121,0,29121,0,105587188.6,29121,29121,1809774285.0061338,1809774285.0061338
19151,0,19021,0,581472999.2776136,19151,19021,5607946535.1179085,5607946535.1179085
27105,0,19141,0,315723996.49166226,27105,19141,2976668954.024347,2976668954.024347
39069,0,39137,0,192299965.0547012,39069,39137,2756548198.0981894,2756548198.0981894
39069,0,39003,0,82197887.97402497,39069,39003,1182787020.2730954,1182787020.2730954
27085,0,27143,0,238030062.882894,27085,27143,1782518121.9710162,1782518121.9710162
39083,0,39031,0,179740386.36318627,39083,39031,2604286055.355128,2604286055.355128
31011,0,31011,0,202363784.14852187,31011,31011,3708903828.8470626,3708903828.8470626
31011,0,31121,0,379335612.95856833,31011,31121,6992051940.687847,6992051940.687847
31011,0,31141,0,65449547.13195356,31011,31141,1206538477.604601,1206538477.604601
26037,0,26025,0,10978085.78338256,26037,26025,124915844.43200599,124915844.43200599
20031,0,20003,0,36725844.1752058,20031,20003,661489055.0992409,661489055.0992409
19067,0,19067,0,708263903.7506741,19067,19067,7222599265.840805,7222599265.840805
19067,0,19037,0,2475387.345903628,19067,19037,25380757.48216236,25380757.48216236
19081,0,19197,0,620097637.7149271,19081,19197,6093661037.910758,6093661037.910758
19195,0,19033,0,353332009.5884564,19195,19033,3374516040.711224,3374516040.711224
26075,0,26025,0,216541112.01013625,26075,26025,4200783230.6278577,4200783230.6278577
27033,0,19141,0,152558687.66408613,27033,19141,1400727064.6823108,1400727064.6823108
27033,0,27033,0,343387900.4,27033,27033,3062251411.4884706,3062251411.4884706
27033,0,19143,0,29838198.495688844,27033,19143,271555829.06919765,271555829.06919765
27033,0,19149,0,25968109.828361988,27033,19149,241435306.53232452,241435306.53232452
